City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
444,Nanakuli,US,80.6,clear sky,21.39,-158.15,Camp Pālehua
447,Luangwa,ZM,82.54,clear sky,-15.62,30.42,Gerasimos Safari Lodge
448,Edd,ER,83.73,clear sky,13.93,41.69,
450,Faanui,PF,79.74,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
451,Sao Paulo De Olivenca,BR,87.12,light rain,-3.38,-68.87,
453,Humberto De Campos,BR,79.93,clear sky,-2.6,-43.46,Pousada do Cabeça
454,Veraval,IN,78.58,clear sky,20.9,70.37,Lords Inn Somnath
457,Padang,ID,77.14,overcast clouds,-0.95,100.35,Mercure Padang
458,Kihei,US,87.8,scattered clouds,20.79,-156.47,Maui Sunset
463,Maracaju,BR,80.56,clear sky,-21.61,-55.17,Maracaju Plaza Hotel - Hospedagem - Maracaju/MS
465,Rosario Oeste,BR,82.51,moderate rain,-14.84,-56.43,ARLS Cavaleiros da Fraternidade n°67
466,Nhulunbuy,AU,78.8,overcast clouds,-12.23,136.77,East Arnhem Real Estate
471,Morondava,MG,77.56,clear sky,-20.28,44.28,La Case Bambou
475,Bourail,NC,76.68,overcast clouds,-21.57,165.48,Nekweta
477,Salinopolis,BR,81.52,broken clouds,-0.61,-47.36,Hotel Salinópolis
479,Saint-Georges,GD,78.8,light intensity shower rain,12.06,-61.75,Siesta Hotel
489,Atar,MR,87.8,clear sky,20.52,-13.05,Oumou Elghoura
491,Salalah,OM,78.8,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
495,Esmeraldas,BR,87.8,scattered clouds,-19.76,-44.31,Hotel Fazenda Lagoa Azul
498,Bacolod,PH,78.51,overcast clouds,10.67,122.95,Planta Hotel & Residences
500,Hambantota,LK,78.4,broken clouds,6.12,81.12,Bungalow 63
506,Coahuayana,MX,82.4,broken clouds,18.73,-103.68,Hotel Los Arcos
508,North Augusta,US,80.6,clear sky,33.5,-81.97,Ramada by Wyndham Augusta Downtown Hotel & Conference Center
510,San Lorenzo,PY,86.0,clear sky,-25.33,-57.53,Ámbar Hotel
512,Umm Lajj,SA,82.29,clear sky,25.02,37.27,Moon light Furnished Units
