City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Katsuura,JP,2020-10-26 00:36:02,35.13,140.3,68.0,55,75,6.93
149,Mar Del Plata,AR,2020-10-26 00:33:50,-38.0,-57.56,60.8,100,90,5.99
150,Kysyl-Syr,RU,2020-10-26 00:36:02,63.9,122.76,16.18,95,100,10.09
151,Solnechnyy,RU,2020-10-26 00:36:03,50.72,136.63,42.28,67,0,0.89
152,Luderitz,NA,2020-10-26 00:35:13,-26.65,15.16,64.31,56,0,22.1
153,Ojinaga,MX,2020-10-26 00:36:03,29.57,-104.42,87.8,12,1,6.93
154,Constitucion,CL,2020-10-26 00:36:00,-35.33,-72.42,49.86,73,0,12.28
155,Longyearbyen,SJ,2020-10-26 00:33:50,78.22,15.64,30.2,74,75,6.93
156,Hingatungan,PH,2020-10-26 00:36:04,10.58,125.19,81.32,79,100,10.87
157,Hofn,IS,2020-10-26 00:36:04,64.25,-15.21,42.26,79,100,9.82
158,Sandwick,GB,2020-10-26 00:36:04,60.0,-1.25,50.0,81,100,17.22
159,Bocanda,CI,2020-10-26 00:36:05,7.06,-4.5,73.35,94,99,3.85
160,Bitam,GA,2020-10-26 00:36:05,2.08,11.5,69.24,98,100,2.39
161,Coffs Harbour,AU,2020-10-26 00:36:05,-30.3,153.13,70.0,68,90,6.93
162,Moose Factory,CA,2020-10-26 00:36:05,51.26,-80.61,24.8,73,90,3.36
163,Taltal,CL,2020-10-26 00:36:05,-25.4,-70.48,59.94,55,0,5.73
164,Saskylakh,RU,2020-10-26 00:36:06,71.92,114.08,8.24,94,100,10.22
165,Henties Bay,NA,2020-10-26 00:36:06,-22.12,14.28,57.99,91,40,3.0
166,Ouadda,CF,2020-10-26 00:36:06,8.08,22.4,67.51,76,26,1.1
167,Warrnambool,AU,2020-10-26 00:34:57,-38.38,142.48,57.99,60,0,5.99
168,Tocantins,BR,2020-10-26 00:36:07,-10.5,-48.0,80.6,78,40,3.53
169,Olenino,RU,2020-10-26 00:36:07,56.21,33.49,39.81,95,60,2.59
170,Ferrenafe,PE,2020-10-26 00:36:07,-6.64,-79.79,65.07,80,95,9.62
171,Savonlinna,FI,2020-10-26 00:36:07,61.87,28.88,39.2,86,90,9.17
172,Fort Nelson,CA,2020-10-26 00:36:07,58.81,-122.7,30.2,50,90,3.36
173,Lagos,NG,2020-10-26 00:36:08,6.58,3.75,77.04,89,59,2.51
174,Luganville,VU,2020-10-26 00:36:08,-15.53,167.17,84.2,70,20,4.7
175,Jagalur,IN,2020-10-26 00:36:08,14.53,76.35,69.8,79,24,2.21
176,Aden,YE,2020-10-26 00:36:08,12.78,45.04,82.65,55,0,13.04
177,Najran,SA,2020-10-26 00:36:09,17.49,44.13,59.0,21,0,1.59
178,Leningradskiy,RU,2020-10-26 00:33:23,69.38,178.42,25.29,94,96,6.22
179,Krutikha,RU,2020-10-26 00:36:09,53.96,81.21,38.08,91,100,13.58
180,Ulladulla,AU,2020-10-26 00:36:09,-35.35,150.47,60.01,62,75,18.34
181,Dhidhdhoo,MV,2020-10-26 00:33:43,6.88,73.1,82.11,76,89,7.76
182,Nerchinskiy Zavod,RU,2020-10-26 00:36:10,51.31,119.61,34.23,84,100,2.15
183,Brookings,US,2020-10-26 00:33:08,44.31,-96.8,19.4,79,1,9.17
184,Biak,ID,2020-10-26 00:36:10,-0.91,122.88,84.0,64,39,3.69
185,Pisco,PE,2020-10-26 00:35:11,-13.7,-76.22,64.4,77,0,18.34
186,Bathsheba,BB,2020-10-26 00:36:11,13.22,-59.52,80.6,83,40,13.87
187,Port Alfred,ZA,2020-10-26 00:36:11,-33.59,26.89,65.08,85,100,6.91
188,Severnyy,RU,2020-10-26 00:36:11,50.68,36.55,42.8,93,0,2.24
189,Gubkinskiy,RU,2020-10-26 00:36:11,64.43,76.5,14.4,96,94,12.82
190,Tiksi,RU,2020-10-26 00:33:30,71.69,128.87,5.34,90,100,31.03
191,Kapaa,US,2020-10-26 00:36:12,22.08,-159.32,82.99,74,40,9.17
192,Dikson,RU,2020-10-26 00:36:12,73.51,80.55,20.14,98,100,11.16
193,San Andres,CO,2020-10-26 00:33:21,12.58,-81.7,80.6,88,75,4.7
194,Daru,PG,2020-10-26 00:36:13,-9.08,143.21,84.38,70,100,8.05
195,Meulaboh,ID,2020-10-26 00:36:13,4.14,96.13,77.13,84,100,4.61
196,Vila Franca Do Campo,PT,2020-10-26 00:36:13,37.72,-25.43,59.0,77,20,6.93
197,Rypefjord,NO,2020-10-26 00:36:13,70.63,23.67,33.8,80,75,44.96
198,Shar,KZ,2020-10-26 00:36:13,49.59,81.05,40.57,67,100,14.76
199,Chuy,UY,2020-10-26 00:36:14,-33.7,-53.46,66.61,89,100,11.63
200,Buin,CL,2020-10-26 00:36:14,-33.73,-70.75,64.0,59,0,12.75
201,Asau,RO,2020-10-26 00:36:14,46.43,26.4,53.01,98,99,1.61
202,Jalu,LY,2020-10-26 00:36:15,29.03,21.55,63.01,86,0,6.33
203,Juegang,CN,2020-10-26 00:35:18,32.32,121.19,64.99,1,100,5.64
204,Naze,JP,2020-10-26 00:34:51,28.37,129.48,75.2,57,40,8.05
205,Gulfport,US,2020-10-26 00:34:28,30.37,-89.09,71.6,73,90,5.82
206,Yar-Sale,RU,2020-10-26 00:33:02,66.83,70.83,11.26,96,53,10.13
207,Huanta,PE,2020-10-26 00:36:16,-12.93,-74.25,63.84,45,100,3.94
208,Miquelon,PM,2020-10-26 00:36:16,47.1,-56.38,42.62,66,0,29.33
209,Khatanga,RU,2020-10-26 00:34:49,71.97,102.5,5.94,95,95,9.8
210,Esperance,AU,2020-10-26 00:36:17,-33.87,121.9,64.4,48,0,23.04
211,Oriximina,BR,2020-10-26 00:35:27,-1.77,-55.87,80.67,70,1,2.84
212,Sunrise Manor,US,2020-10-26 00:33:05,36.21,-115.07,75.2,11,20,26.4
213,Vanavara,RU,2020-10-26 00:36:17,60.34,102.28,20.91,96,0,2.64
214,Kuryk,KZ,2020-10-26 00:36:18,43.2,51.65,57.65,82,93,4.81
215,Flinders,AU,2020-10-26 00:35:17,-34.58,150.86,60.01,62,75,18.34
216,Arman,RU,2020-10-26 00:36:18,59.7,150.17,37.53,74,100,12.03
217,Lakes Entrance,AU,2020-10-26 00:36:18,-37.88,147.98,60.01,81,64,1.99
218,Raahe,FI,2020-10-26 00:36:18,64.68,24.48,36.0,93,90,14.99
219,Ahuimanu,US,2020-10-26 00:36:19,21.44,-157.84,84.0,74,40,6.93
220,Denta,RO,2020-10-26 00:36:19,45.35,21.25,57.2,87,0,2.24
221,Pilar,BR,2020-10-26 00:36:19,-9.6,-35.96,75.2,94,40,5.82
222,Husavik,IS,2020-10-26 00:36:20,66.04,-17.34,41.0,80,90,6.93
223,Hay River,CA,2020-10-26 00:32:18,60.82,-115.8,28.4,68,75,10.29
224,Sciacca,IT,2020-10-26 00:36:20,37.51,13.09,57.0,91,0,3.42
225,Guerrero Negro,MX,2020-10-26 00:33:46,27.98,-114.06,68.99,71,77,17.6
226,Tautira,PF,2020-10-26 00:36:20,-17.73,-149.15,86.0,66,40,5.82
227,Nara,JP,2020-10-26 00:36:21,34.69,135.8,62.01,63,75,2.24
228,Hajnowka,PL,2020-10-26 00:36:21,52.74,23.58,50.0,89,100,1.99
229,Camacha,PT,2020-10-26 00:34:14,33.08,-16.33,68.0,82,40,10.29
230,Rushden,GB,2020-10-26 00:36:21,52.29,-0.6,44.01,95,0,3.0
231,Proletarsk,RU,2020-10-26 00:36:22,46.7,41.72,50.83,73,100,7.43
232,Kutum,SD,2020-10-26 00:36:22,14.2,24.67,67.24,29,0,7.27
233,Kavaratti,IN,2020-10-26 00:36:22,10.57,72.64,81.43,74,41,1.95
234,Roblin,CA,2020-10-26 00:36:17,51.23,-101.36,10.56,96,0,7.0
235,Taoudenni,ML,2020-10-26 00:35:16,22.68,-3.98,84.9,14,47,8.81
236,Lepaterique,HN,2020-10-26 00:36:23,14.07,-87.47,73.4,100,75,11.41
237,Zhigansk,RU,2020-10-26 00:36:23,66.77,123.37,-1.5,89,65,5.28
238,Mokrousovo,RU,2020-10-26 00:36:23,55.81,66.77,39.63,94,99,6.91
239,Port Elizabeth,ZA,2020-10-26 00:36:23,-33.92,25.57,62.6,93,75,17.22
240,Aripuana,BR,2020-10-26 00:36:23,-9.17,-60.63,75.61,77,14,1.12
241,Nanortalik,GL,2020-10-26 00:33:49,60.14,-45.24,34.61,89,100,10.42
242,Raudeberg,NO,2020-10-26 00:36:06,61.99,5.14,46.99,80,100,21.47
243,Coihaique,CL,2020-10-26 00:36:24,-45.58,-72.07,48.2,84,75,8.05
244,San Juan,AR,2020-10-26 00:35:10,-31.54,-68.54,60.24,42,0,6.93
245,Monywa,MM,2020-10-26 00:36:25,22.12,95.13,77.49,91,45,4.32
246,Myitkyina,MM,2020-10-26 00:36:25,25.38,97.4,72.59,86,20,1.7
247,Half Moon Bay,US,2020-10-26 00:36:25,37.46,-122.43,68.0,76,1,11.41
248,Aklavik,CA,2020-10-26 00:35:34,68.22,-135.01,21.2,92,90,9.17
249,Alekseyevsk,RU,2020-10-26 00:36:25,57.84,108.35,26.6,96,100,6.93
250,Barranca,PE,2020-10-26 00:36:26,-10.75,-77.77,62.01,87,74,7.74
251,Nome,US,2020-10-26 00:34:55,64.5,-165.41,39.2,80,90,6.93
252,Mwingi,KE,2020-10-26 00:36:26,-0.93,38.06,65.68,87,92,5.41
253,Kodiak,US,2020-10-26 00:33:04,57.79,-152.41,48.2,87,90,4.7
254,Krasnoarmeysk,RU,2020-10-26 00:36:27,51.02,45.7,39.99,61,0,14.0
255,Inuvik,CA,2020-10-26 00:34:02,68.35,-133.72,21.2,92,90,9.17
256,Totness,SR,2020-10-26 00:36:27,5.88,-56.32,81.23,80,0,11.83
257,Saint-Augustin,CA,2020-10-26 00:36:27,51.23,-58.65,31.69,84,0,12.08
258,Sistranda,NO,2020-10-26 00:36:27,63.73,8.83,44.6,87,20,17.22
259,Nantucket,US,2020-10-26 00:31:38,41.28,-70.1,50.0,70,40,12.75
260,Port Moresby,PG,2020-10-26 00:36:28,-9.44,147.18,84.2,70,20,5.82
261,Hamilton,US,2020-10-26 00:31:58,39.18,-84.53,53.6,62,90,6.93
262,Severo-Kurilsk,RU,2020-10-26 00:35:04,50.68,156.12,46.47,80,100,7.11
